Current Round,8,,,,,,,,,,,,,,,,,,,,,,,
Current Round Progress,Not Started,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Day,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,2,2,,2,2
Round,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,1,1,,2,2
Overall Round,,1,1,,2,2,,3,3,,4,4,,5,5,,6,6,,7,7,,8,8
Player ID,Player Name,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement,,Lobby,Placement
1,100T Dishsoap,A,3,,A,1,,B,7,,B,8,,B,1,,B,4,,A,3,,A,
16,AEG Gobosteur,B,4,,B,8,,A,2,,A,4,,A,5,,A,8,,A,2,,A,
8,IZI Lyyyress,A,2,,A,6,,B,5,,B,4,,E,5,,E,5,,A,6,,A,
11,Kurumx,B,5,,B,6,,A,7,,A,5,,E,3,,E,2,,A,5,,A,
7,RCS Xperion,A,4,,A,4,,E,4,,E,2,,A,8,,A,1,,A,4,,A,
40,ROC DrOH,D,6,,D,2,,E,6,,E,1,,C,7,,C,4,,A,7,,A,
29,XiaoJu,D,5,,D,1,,E,1,,E,3,,A,4,,A,2,,A,1,,A,
30,XiaoQi,D,4,,D,6,,D,7,,D,2,,E,1,,E,6,,A,8,,A,
9,Cambulee,B,6,,B,1,,A,3,,A,1,,C,4,,C,8,,B,4,,B,
10,Dehua,B,2,,B,5,,D,2,,D,5,,A,7,,A,6,,B,6,,B,
5,FLCN LiShao,A,1,,A,3,,D,8,,D,3,,B,8,,B,6,,B,3,,B,
27,FW AQ1H,D,1,,D,3,,C,2,,C,4,,B,7,,B,1,,B,5,,B,
15,HanXing,B,8,,B,7,,B,4,,B,1,,D,6,,D,5,,B,1,,B,
38,MOUZ Sologesang,E,4,,E,3,,A,4,,A,2,,C,6,,C,6,,B,8,,B,
12,SB Grenade,B,1,,B,2,,A,6,,A,6,,D,8,,D,1,,B,2,,B,
14,TLN YBY1,B,3,,B,4,,C,8,,C,6,,A,2,,A,3,,B,7,,B,
25,Bopster,D,3,,D,8,,B,1,,B,6,,B,5,,B,8,,C,2,,C,
32,CTG Robinsongz,E,2,,E,6,,C,3,,C,1,,E,6,,E,4,,C,5,,C,
39,FNC Bensac,E,6,,E,8,,D,1,,D,6,,A,3,,A,5,,C,3,,C,
24,M8 L3SCoco,C,5,,C,3,,A,5,,A,7,,B,3,,B,3,,C,8,,C,
2,Steppy,A,7,,A,2,,C,1,,C,2,,E,4,,E,8,,C,6,,C,
17,VIT Setsuko,C,8,,C,1,,A,1,,A,3,,D,1,,D,8,,C,1,,C,
37,WOL YGQF,E,1,,E,5,,D,4,,D,4,,B,6,,B,5,,C,7,,C,
4,ZETA Summertimer,A,5,,A,5,,C,4,,C,7,,B,4,,B,2,,C,4,,C,
3,Nguyenvux,A,8,,A,8,,A,8,,A,8,,A,1,,A,4,,cut,,,cut,
21,SanWeizi,C,2,,C,6,,D,3,,D,7,,A,6,,A,7,,cut,,,cut,
36,ShenDu,E,7,,E,2,,D,6,,D,8,,E,2,,E,7,,cut,,,cut,
13,Taro,B,7,,B,3,,E,2,,E,7,,D,5,,D,7,,cut,,,cut,
34,Tristan (LIL STEPPY),E,5,,E,7,,C,7,,C,8,,C,3,,C,3,,cut,,,cut,
6,TWIS Xunge,A,6,,A,7,,E,8,,E,6,,B,2,,B,7,,cut,,,cut,
18,VA PA CASA,C,6,,C,8,,E,3,,E,5,,C,5,,C,5,,cut,,,cut,
28,XiaoYuqin,D,8,,D,5,,D,5,,D,1,,C,8,,C,7,,cut,,,cut,
31,G5 Klicornen,D,7,,D,7,,C,5,,C,3,,D,3,,D,4,,D,1,,D,
33,GD Royal,E,3,,E,4,,B,2,,B,7,,E,8,,E,3,,D,5,,D,
22,SLY Voltariux,C,7,,C,5,,B,8,,B,5,,D,2,,D,2,,D,4,,D,
19,Texsummers,C,4,,C,2,,C,6,,C,5,,D,4,,D,3,,D,3,,D,
23,Vomendeth,C,1,,C,4,,E,7,,E,8,,C,1,,C,1,,D,6,,D,
26,Wasianiverson,D,2,,D,4,,B,3,,B,2,,D,7,,D,6,,D,2,,D,
20,ZETA Yatsuhashi,C,3,,C,7,,E,5,,E,4,,E,7,,E,1,,D,8,,D,
35,ZhenBai,E,8,,E,1,,B,6,,B,3,,C,2,,C,2,,D,7,,D,
